call_id,leader,leader_url,members
1762513469.6791983,1758955619.11924221,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758955619.11924221.wav,"['1757730954.898090', '1758955619.11924221', '1754463423.9234727', '1751869564.3300629', '1752392261.7360225', '1755071034.14305065', '1760946052.1302942', '1761732058.9638784', '1761787472.9870059', '1748252553.26485115', '1758693729.9453055', '1758089563.4164959', '1756031288.22046768']"
1762513730.6795407,1761636299.8436070,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761636299.8436070.wav,"['1761636299.8436070', '1761196416.4035323', '1761903672.625638', '1756114503.22686236', '1755170128.15284844', '1756193823.23216926', '1760679867.2718912', '1762513730.6795407']"
1762511174.6750347,1760003263.21042126,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760003263.21042126.wav,"['1760003263.21042126', '1761030006.2238597', '1762511174.6750347', '1761908808.700625', '1760931485.975198', '1761294263.5233628', '1760773423.3720479', '1761290280.5133783']"
1762510975.6746292,1746581088.15755714,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1746581088.15755714.wav,"['1746581088.15755714', '1757229613.6593139', '1756800336.3411968', '1747722987.22983833', '1755158848.15103165', '1741850133.67322241', '1747725673.23030438', '1756799383.3393775', '1760087273.21960838', '1757848391.1936480']"
1762509469.6713968,1737010423.43802300,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1737010423.43802300.wav,"['1737010423.43802300', '1756349887.192420', '1757128056.5798207', '1749452146.33622120', '1760430179.3249273', '1745891381.12393531', '1757672154.652433', '1754545973.9985109', '1741339660.64780044', '1742296681.69783119', '1737364179.45604495', '1758694898.9475630', '1756273741.23786624', '1761028750.2205657', '1752911503.11507305', '1740032398.57189510', '1743586182.76793767', '1758695996.9497211', '1741068689.63119023', '1753432644.2199691']"
1762509256.6708726,1762081857.2128466,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1762081857.2128466.wav,"['1762081857.2128466', '1761736873.9723413', '1761469945.6778578', '1762509256.6708726', '1761470827.6791337']"
1762507825.6675212,1761292038.5178781,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761292038.5178781.wav,"['1753840405.4844242', '1760424618.3115148', '1758505406.7534156', '1757731801.915536', '1760327471.1998249', '1754290480.7898425', '1755084065.14520133', '1761292038.5178781', '1762507825.6675212', '1758331443.6217381', '1758098172.4349622', '1757585306.2983391', '1757755607.1271632', '1756452254.1159207', '1757755791.1274064']"
1762507743.6673451,1761040341.2521154,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761040341.2521154.wav,"['1754363601.8372960', '1756277129.23841234', '1761040341.2521154', '1755770876.20157225', '1762507743.6673451', '1759392046.15815667', '1757578249.2854574', '1759043477.12756498', '1758073735.3871753', '1760578978.1394891', '1754623767.10689011', '1755249869.15916604', '1755494229.17555157', '1753692162.3967538']"
1762508446.6690204,1749705411.35491630,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1749705411.35491630.wav,"['1751707430.2350444', '1753091514.12851381', '1749705411.35491630', '1756287987.24036857', '1751512446.809109', '1750734814.6217542', '1751531452.1083584', '1745305355.9115568', '1752917635.11598631', '1756193119.23203184', '1747883900.24104722', '1750411280.4210085', '1756359085.338644', '1752816097.10705469', '1757490215.2078502', '1751509587.750781', '1744009198.1775232', '1752730005.9972659', '1757056833.5346801', '1754814014.12201335']"
1762507578.6669866,1752560342.8614783,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1752560342.8614783.wav,"['1752560342.8614783', '1760667770.2455565', '1757405710.1349376', '1761816604.10510075', '1761556652.7659081', '1747390142.21062483', '1757573843.2765437', '1748398326.27234615', '1761037053.2441597', '1755919051.21150489', '1762507578.6669866', '1747299771.20431273', '1756346630.113692', '1736493717.40781091', '1761791934.9994894', '1750649263.5595407', '1750843290.7144724', '1759225986.14616442', '1761647830.8722526', '1756344480.63702']"
